hek293t	hct116	mcf7	c42b	pct_peaks
APOBEC3G	NA	NA	NA	NA	NA
HLTF-AS1	1	NA	NA	NA	1
TLR9	NA	NA	NA	NA	NA
RP11-496B10.3	0	NA	NA	0	0
WBP1	1	1	1	0	0.75
MRPS17	0	1	0	1	0.5
ITIH4-AS1	NA	NA	NA	NA	NA
DENND6A-AS1	NA	NA	NA	NA	NA
PRAMEF11	NA	NA	NA	NA	NA
RP11-446H18.5	NA	NA	NA	NA	NA
DEFA3	NA	NA	NA	NA	NA
GET4	1	1	1	1	1
IGSF11-AS1	NA	NA	NA	NA	NA
KRTAP9-2	NA	NA	NA	NA	NA
C1orf226	0	0	0	0	0
ADSL	1	1	1	1	1
PRKAG2-AS1	1	1	NA	0	0.666666666666667
LINC01471	NA	NA	NA	NA	NA
AP001625.4	NA	NA	NA	NA	NA
RP11-246A10.1	0	NA	0	0	0
ZBTB20-AS3	NA	NA	NA	NA	NA
LILRA4	NA	NA	NA	NA	NA
LILRA2	NA	NA	NA	NA	NA
RP11-293A21.1	NA	NA	NA	0	0
RP11-200A1.1	NA	NA	NA	NA	NA
SLC9A9-AS1	NA	NA	NA	NA	NA
TEX35	NA	NA	0	0	0
RP11-274H2.3	NA	NA	NA	NA	NA
AMY2B	0	0	NA	NA	0
RP11-451G4.2	NA	NA	NA	NA	NA
LY6G5B	0	0	0	0	0
RP11-572M11.4	0	NA	NA	NA	0
RP11-225N10.1	NA	NA	NA	NA	NA
PSMB9	NA	0	NA	NA	0
ERICH6-AS1	0	NA	0	0	0
RP11-16N2.1	NA	NA	NA	NA	NA
MAGI1-AS1	NA	NA	NA	NA	NA
PCDHGC3	0	NA	0	NA	0
ARHGEF3-AS1	NA	NA	NA	NA	NA
SMKR1	1	1	1	1	1
RP11-758P17.3	0	NA	0	0	0
COX19	1	1	0	0	0.5
DEFA1B	NA	NA	NA	NA	NA
B4GALT4-AS1	NA	NA	NA	NA	NA
GHRLOS	0	NA	NA	0	0
ACAD11	0	1	1	1	0.75
PPIL3	0	0	0	0	0
AC017002.1	NA	NA	NA	NA	NA
SEC62-AS1	0	NA	0	0	0
LCE1F	NA	NA	NA	NA	NA
KIR3DL2	NA	NA	NA	NA	NA
LINC01212	NA	NA	NA	NA	NA
LINC00636	NA	NA	NA	NA	NA
KRTAP13-3	NA	NA	NA	NA	NA
FOXO3B	0	0	NA	0	0
RP4-584D14.5	0	NA	0	0	0
CSPG4P1Y	NA	NA	NA	NA	NA
LINC00973	NA	0	NA	NA	0
CDKN2B-AS1	0	NA	0	0	0
TNFRSF13B	NA	NA	NA	NA	NA
TM4SF1-AS1	NA	NA	NA	NA	NA
KRTAP9-1	NA	NA	NA	NA	NA
THOC7-AS1	NA	NA	0	NA	0
L1TD1	NA	NA	NA	NA	NA
RP11-3P17.4	NA	NA	NA	NA	NA
AQP1	NA	NA	NA	NA	NA
KCNAB1-AS2	NA	NA	NA	NA	NA
C1QTNF9	NA	NA	NA	0	0
MME-AS1	NA	NA	NA	0	0
ISY1	1	1	0	1	0.75
PNMA2	0	NA	NA	NA	0
LINC01168	NA	NA	NA	NA	NA
RP11-64C1.1	NA	NA	NA	NA	NA
LRRD1	NA	NA	NA	NA	NA
KRBOX1	NA	NA	NA	NA	NA
RP11-155G14.6	0	NA	0	0	0
PCDHGC5	NA	NA	NA	NA	NA
PLCXD2-AS1	NA	NA	NA	NA	NA
C21orf91-OT1	NA	NA	NA	NA	NA
ARHGEF25	1	1	0	NA	0.666666666666667
AC073934.6	NA	NA	NA	NA	NA
TMEM189	0	1	0	0	0.25
RDH14	1	1	1	1	1
AC093627.10	NA	NA	NA	NA	NA
C1QTNF9-AS1	NA	NA	NA	NA	NA
KRTAP4-7	NA	NA	NA	NA	NA
LINC00886	NA	1	1	NA	1
NDUFB2-AS1	0	NA	NA	0	0
PLCXD2	1	0	NA	NA	0.5
RP11-572C15.5	NA	NA	NA	NA	NA
LSAMP-AS1	NA	NA	NA	NA	NA
MIF	1	1	1	1	1
HOXA11-AS	0	1	NA	1	0.666666666666667
NSUN6	0	0	0	0	0
FLJ46066	NA	NA	NA	NA	NA
PRICKLE2-AS2	NA	NA	0	NA	0
HLA-DOB	NA	NA	NA	NA	NA
PRICKLE2-AS1	NA	NA	0	NA	0
UGT1A9	NA	NA	NA	NA	NA
KRTAP10-5	NA	NA	NA	NA	NA
YAE1D1	1	0	0	0	0.25
OR14A2	NA	NA	NA	NA	NA
RP11-639B1.1	NA	NA	NA	NA	NA
LINC00881	NA	NA	NA	NA	NA
RP11-561N12.2	NA	NA	NA	NA	NA
RP11-454C18.1	NA	NA	NA	NA	NA
ARHGAP31-AS1	NA	NA	NA	NA	NA
ADAMTS9-AS1	NA	NA	NA	NA	NA
LINC00877	NA	NA	NA	NA	NA
TDGF1	NA	NA	NA	NA	NA
ZIC4-AS1	NA	NA	NA	NA	NA
IQCJ-SCHIP1-AS1	NA	NA	NA	NA	NA
RP11-768G7.2	NA	NA	NA	NA	NA
FLJ22763	NA	NA	NA	NA	NA
KRTAP5-8	NA	NA	NA	NA	NA
KRTAP4-16P	NA	NA	NA	0	0
CRCP	1	1	1	1	1
RP11-379B18.5	1	0	0	0	0.25
ZBTB20-AS2	NA	NA	NA	NA	NA
WWTR1-AS1	NA	NA	NA	NA	NA
SUCLG2-AS1	0	NA	NA	0	0
CDRT1	NA	NA	0	0	0
RP11-331K15.1	NA	NA	NA	NA	NA
LINC01487	NA	NA	NA	NA	NA
RPL36A	0	0	0	0	0
OR5G3	NA	NA	NA	NA	NA
SYNPR-AS1	NA	NA	NA	NA	NA
PDXP	1	1	1	1	1
LINC01192	NA	NA	NA	0	0
RPP21	1	1	1	1	1
RP11-152C17.1	NA	NA	NA	NA	NA
HNF1A-AS1	0	NA	NA	NA	0
LINC00903	NA	NA	NA	NA	NA
CD302	1	NA	NA	1	1
EGFL8	0	0	0	0	0
PLSCR5-AS1	NA	NA	NA	NA	NA
ATP5J2	1	1	1	1	1
LINC00635	NA	NA	NA	NA	NA
PTPRG-AS1	1	NA	1	NA	1
SSX2	NA	NA	NA	NA	NA
RP11-641D5.2	NA	NA	NA	NA	NA
ARHGAP8	0	0	0	0	0
RP11-6F2.5	NA	NA	NA	NA	NA
ARPC4	1	1	1	1	1
ZBTB20-AS1	NA	NA	NA	NA	NA
CORT	NA	NA	NA	0	0
PAQR9-AS1	0	NA	NA	NA	0
KRTAP9-4	NA	NA	NA	NA	NA
KRTAP5-4	NA	NA	NA	NA	NA
UGT1A1	NA	NA	0	NA	0
LINC01323	NA	NA	NA	NA	NA
INMT	NA	NA	NA	NA	NA
CADM2-AS2	NA	NA	NA	NA	NA
TRBV11-2	NA	NA	NA	NA	NA
LINC01327	NA	NA	NA	NA	NA
ADAMTS9-AS2	NA	NA	NA	NA	NA
ARPC1A	1	1	1	1	1
RP11-420J11.2	NA	NA	NA	NA	NA
TMEFF1	1	1	NA	NA	1
XACT	NA	NA	NA	NA	NA
AC002467.7	0	0	0	1	0.25
LINC01324	NA	NA	NA	NA	NA
LINC00893	1	NA	1	0	0.666666666666667
SPRR2A	NA	NA	NA	NA	NA
RP11-1000B6.2	NA	NA	NA	0	0
CECR3	NA	NA	NA	NA	NA
ATP5O	0	0	0	0	0
PLEKHO2	0	0	0	0	0
C8orf58	1	1	0	0	0.5
PISD	1	1	1	0	0.75
RP11-755B10.3	NA	NA	NA	NA	NA
HOGA1	0	NA	NA	1	0.5
PWP2	0	0	NA	0	0
CTC-340A15.2	0	NA	0	0	0
PI4KA	1	1	1	1	1
WWTR1-IT1	NA	NA	0	0	0
PRR34-AS1	1	1	NA	1	1
KIR3DL3	NA	NA	NA	NA	NA
HYPK	0	0	0	0	0
RP11-690C23.2	NA	NA	NA	NA	NA
RP13-452N2.1	NA	NA	NA	NA	NA
DNAJB8-AS1	NA	NA	NA	NA	NA
RP1-90G24.10	1	0	NA	0	0.333333333333333
LINC00969	0	1	0	0	0.25
FOXP1-IT1	NA	NA	NA	NA	NA
LINC01100	NA	NA	NA	NA	NA
AMACR	1	1	1	1	1
MTFP1	0	1	1	1	0.75
RP11-231I13.2	NA	NA	NA	NA	NA
SNHG3	1	1	1	1	1
RP13-463N16.6	NA	NA	NA	NA	NA
ARHGDIG	0	NA	0	0	0
HOXB-AS4	1	NA	NA	NA	1
TCP10L	0	NA	NA	NA	0
PSG2	NA	NA	NA	NA	NA
PVRL3-AS1	NA	NA	NA	NA	NA
ARFGAP3	1	1	1	1	1
BGLAP	NA	NA	NA	NA	NA
LINC00996	NA	NA	NA	NA	NA
C22orf39	0	0	0	0	0
PEG10	NA	0	NA	NA	0
RP11-368I23.2	NA	NA	NA	NA	NA
RP11-464F9.1	NA	NA	NA	1	1
RP11-197K3.1	NA	NA	NA	NA	NA
RP11-735B13.2	NA	NA	0	0	0
CT47A2	NA	NA	NA	NA	NA
UGT1A8	NA	NA	NA	NA	NA
KCNAB1-AS1	NA	NA	NA	NA	NA
EIF6	1	1	1	1	1
LINC00901	NA	NA	NA	NA	NA
RBMY1E	NA	NA	NA	NA	NA
PCDHGC4	NA	NA	NA	NA	NA
C3orf67-AS1	NA	NA	NA	NA	NA
RP11-501O2.5	NA	NA	NA	NA	NA
GTF2A1L	NA	NA	NA	NA	NA
AC093627.9	0	0	1	0	0.25
MRPL20	1	1	1	1	1
ARPIN	1	1	0	1	0.75
LINC01206	NA	NA	NA	NA	NA
UGT1A10	NA	NA	NA	NA	NA
LINC00960	0	NA	1	1	0.666666666666667
KLHL6-AS1	0	NA	NA	0	0
SERPINB10	NA	NA	NA	NA	NA
HLA-DMB	0	0	NA	NA	0
DECR2	1	1	1	1	1
GNG10	1	1	1	1	1
RP11-18H7.1	1	NA	1	1	1
LINC00971	NA	NA	NA	NA	NA
RP11-232M24.1	NA	NA	NA	NA	NA
RP11-1191J2.2	NA	NA	NA	NA	NA
CNTF	0	NA	NA	0	0
CCDC169	NA	NA	NA	0	0
RGAG4	0	1	0	0	0.25
RP11-20B7.1	NA	NA	NA	NA	NA
LINC00882	NA	NA	NA	NA	NA
ZBTB20-AS4	NA	NA	NA	NA	NA
RP11-180K7.1	NA	NA	NA	NA	NA
RP11-47P18.2	NA	NA	NA	NA	NA
RP11-651P23.5	NA	NA	NA	NA	NA
GLYCTK-AS1	NA	NA	NA	NA	NA
AP5Z1	1	1	0	0	0.5
SOX2-OT	NA	NA	0	0	0
ZNF709	NA	NA	NA	NA	NA
STRC	NA	NA	NA	NA	NA
RBMY1B	NA	NA	NA	NA	NA
RP11-309L24.2	NA	NA	NA	NA	NA
AADACL2-AS1	NA	NA	NA	NA	NA
PLCH1-AS2	NA	NA	NA	NA	NA
ERVW-1	NA	NA	NA	0	0
RP11-446F17.3	NA	NA	NA	NA	NA
GK-AS1	NA	NA	NA	NA	NA
EIF4EBP3	0	0	0	0	0
ARHGEF26-AS1	0	NA	0	0	0
PRAMEF4	NA	NA	NA	NA	NA
LINC00870	NA	NA	NA	NA	NA
PSG11	NA	NA	NA	NA	NA
PSG4	NA	NA	NA	NA	NA
RP11-115N4.1	NA	NA	NA	NA	NA
MRPL33	1	1	1	1	1
RP11-543A18.1	NA	NA	NA	NA	NA
RP11-538P18.2	NA	NA	NA	NA	NA
MICAL3	1	1	1	1	1
CCDC39-AS1	NA	NA	NA	NA	NA
CTA-360L10.1	NA	NA	NA	NA	NA
TUSC7	NA	NA	NA	NA	NA
PPAN-P2RY11	NA	NA	NA	0	0
RP5-1157M23.2	1	1	NA	1	1
PCDHAC2	NA	1	1	NA	1
STON1	0	NA	NA	NA	0
PRAF2	0	0	0	0	0
VSIG8	NA	NA	NA	NA	NA
CTD-2185K10.1	0	NA	NA	NA	0
C7orf73	1	1	1	1	1
FGF14-IT1	NA	NA	NA	NA	NA
RP11-167H9.3	NA	NA	NA	NA	NA
KCTD7	0	0	0	0	0
RP11-501O2.4	NA	NA	NA	NA	NA
EFNA4	0	0	0	1	0.25
MCCC1-AS1	NA	NA	0	0	0
RP11-245J9.4	0	NA	0	0	0
TICAM2	NA	0	NA	NA	0
C4orf48	0	1	0	0	0.25
NAT6	0	1	0	0	0.25
MNX1-AS1	0	1	1	1	0.75
AMY2A	NA	NA	NA	NA	NA
RP11-34P13.3	NA	NA	NA	NA	NA
KRTAP10-11	NA	NA	NA	NA	NA
TNFRSF6B	NA	0	0	0	0
WFDC6	NA	NA	NA	NA	NA
LINC01214	NA	NA	0	NA	0
UPK3B	NA	NA	0	0	0
RP11-889D3.2	NA	NA	NA	NA	NA
RP11-500K19.1	NA	NA	NA	NA	NA
AP000322.53	NA	NA	NA	NA	NA
LINC00880	NA	NA	NA	NA	NA
OR13C7	NA	NA	NA	NA	NA
IL10RB	0	1	1	0	0.5
CFB	NA	NA	NA	NA	NA
ZNF487	1	1	1	1	1
WDR92	0	0	0	0	0
NME2	1	1	1	1	1
RP11-6B4.1	NA	NA	NA	NA	NA
DUBR	0	NA	0	0	0
PLA2G4B	NA	0	0	0	0
LEFTY1	NA	NA	NA	NA	NA
CFAP57	NA	NA	NA	NA	NA
CACNA2D3-AS1	NA	NA	NA	NA	NA
NPIPB5	0	0	0	0	0
TTC4	1	1	0	1	0.75
OR5V1	NA	NA	NA	NA	NA
ZMYM6NB	0	0	0	0	0
HOTTIP	NA	NA	NA	NA	NA
KIR2DL3	NA	NA	NA	NA	NA
JMJD7	0	0	0	0	0
RP11-572M11.3	NA	NA	NA	NA	NA
PEX5L-AS1	NA	NA	NA	NA	NA
RP5-1096J16.1	NA	NA	NA	NA	NA
APOBEC3D	1	1	NA	NA	1
RN7SL832P	0	NA	0	0	0
RP11-202A13.1	NA	NA	NA	NA	NA
WDR86-AS1	NA	NA	NA	NA	NA
CFAP44-AS1	NA	NA	NA	NA	NA
OR2A7	NA	0	NA	0	0
TUBA4B	NA	NA	NA	NA	NA
TIPARP-AS1	0	NA	0	0	0
MRPS6	1	1	0	0	0.5
ZNF512	1	1	1	1	1
GSTA1	NA	NA	NA	0	0
RP5-839B4.8	NA	NA	NA	NA	NA
RGAG1	NA	NA	NA	NA	NA
ACY1	1	1	1	1	1
NFS1	1	1	1	1	1
MT1HL1	NA	NA	NA	NA	NA
KRTAP19-3	0	NA	NA	NA	0
RP11-306G20.1	NA	NA	NA	NA	NA
DDOST	1	1	1	1	1
IL12A-AS1	NA	NA	NA	NA	NA
LINC01011	1	NA	0	0	0.333333333333333
TMEM199	0	0	0	0	0
LCE3C	NA	NA	NA	NA	NA
GSTA2	NA	NA	NA	NA	NA
SPRR2F	NA	NA	NA	NA	NA
DNAJC25-GNG10	0	0	0	0	0
UGT1A7	NA	NA	NA	NA	NA
ATP1B3-AS1	NA	NA	0	0	0
LINC01322	NA	NA	NA	NA	NA
RP1-93H18.6	NA	NA	NA	NA	NA
FLNB-AS1	NA	NA	0	1	0.5
P2RY11	0	0	0	0	0
RP11-314A20.2	0	NA	NA	0	0
TMEM141	0	0	0	0	0
RP4-545C24.1	NA	0	0	0	0
FOXP1-AS1	NA	NA	NA	0	0
RP11-88I21.2	NA	NA	0	NA	0
GS1-259H13.2	NA	0	NA	NA	0
CSPG4P2Y	NA	NA	NA	NA	NA
GMCL1P1	NA	NA	NA	NA	NA
AC007009.1	NA	0	0	0	0
IFITM10	NA	NA	1	NA	1
RP11-139K4.2	NA	NA	NA	NA	NA
SIAH2-AS1	NA	NA	1	NA	1
DBNDD2	1	1	0	NA	0.666666666666667
ITGB5-AS1	NA	NA	NA	NA	NA
GATA2-AS1	1	1	NA	1	1
PEX5L-AS2	NA	NA	NA	NA	NA
LINC01326	NA	NA	NA	NA	NA
LINC00698	NA	NA	NA	NA	NA
LY6G6D	1	NA	NA	NA	1
KRTAP19-7	NA	NA	NA	NA	NA
FAM3D-AS1	NA	NA	NA	NA	NA
RBMY1D	NA	NA	NA	NA	NA
ETV5	NA	1	0	NA	0.5
KRTAP5-7	NA	NA	NA	NA	NA
CFHR1	NA	NA	NA	NA	NA
RP11-354H21.1	NA	NA	NA	NA	NA
RBM12	0	0	0	0	0
UGT1A4	NA	NA	NA	NA	NA
ERVFRD-1	NA	NA	NA	NA	NA
OR2A1-AS1	0	0	0	1	0.25
LILRA6	NA	NA	NA	NA	NA
SCARF2	1	0	NA	1	0.666666666666667
SLC9A9-AS2	NA	NA	NA	NA	NA
HDAC11-AS1	NA	NA	NA	NA	NA
APOBEC3C	0	0	NA	NA	0
CTD-2013N24.2	NA	NA	NA	1	1
KRTAP4-2	NA	NA	NA	NA	NA
LINC01213	NA	NA	0	1	0.5
KCNK15-AS1	1	NA	0	NA	0.5
RP11-14D22.1	NA	NA	NA	NA	NA
LINC01391	NA	NA	NA	NA	NA
WNT5A-AS1	0	NA	NA	0	0
RAD21L1	NA	NA	NA	NA	NA
CCDC13	NA	NA	NA	NA	NA
ASPRV1	NA	NA	NA	NA	NA
OR2AE1	NA	NA	NA	NA	NA
KRTAP20-1	NA	NA	NA	NA	NA
MIATNB	0	0	1	0	0.25
CTD-2377D24.6	NA	1	NA	NA	1
FCGR2C	NA	NA	NA	NA	NA
UBE2V1	1	1	1	1	1
PTCHD4	NA	NA	NA	NA	NA
C4A	NA	0	NA	NA	0
HBB	NA	NA	NA	NA	NA
CRYBB2	NA	NA	NA	NA	NA
N4BP2L2	1	1	1	1	1
GABPB1-AS1	1	1	1	1	1
ALKBH3-AS1	0	NA	NA	NA	0
RP11-1379J22.2	NA	NA	NA	NA	NA
LIFR-AS1	NA	NA	NA	NA	NA
RP11-181C3.1	NA	NA	NA	NA	NA
LINC00847	1	1	1	0	0.75
IGFBP7-AS1	NA	NA	NA	NA	NA
RP11-320N21.1	NA	NA	NA	NA	NA
A2M-AS1	NA	NA	NA	NA	NA
SMARCA5-AS1	NA	NA	NA	NA	NA
LINC01024	1	NA	NA	1	1
ARAP1-AS2	NA	NA	NA	NA	NA
RNF139-AS1	1	0	1	0	0.5
LINC00861	NA	NA	NA	NA	NA
RP11-10K16.1	NA	NA	NA	1	1
USP2-AS1	0	0	NA	0	0
SAP30L-AS1	0	NA	0	0	0
CTD-2547L16.1	NA	NA	NA	0	0
RP11-286E11.1	NA	NA	NA	NA	NA
ARNTL2-AS1	NA	NA	NA	NA	NA
CTC-241N9.1	0	NA	0	1	0.333333333333333
RP11-15B17.1	0	NA	0	0	0
KB-1471A8.1	NA	NA	NA	NA	NA
AC004053.1	NA	NA	NA	NA	NA
CTD-2540L5.6	NA	NA	NA	NA	NA
RP11-367J11.3	1	NA	NA	1	1
LINC01585	NA	NA	NA	NA	NA
RP11-677M14.7	NA	NA	0	1	0.5
RP11-540A21.2	NA	NA	NA	NA	NA
LINC00461	NA	NA	NA	NA	NA
NEAT1	1	0	1	1	0.75
RORA-AS1	NA	NA	0	NA	0
RP11-712B9.2	0	NA	NA	0	0
SCAMP1-AS1	1	NA	1	1	1
AP001258.4	NA	NA	0	0	0
BDNF-AS	NA	NA	NA	NA	NA
DACT3-AS1	NA	NA	NA	NA	NA
DDX11-AS1	NA	0	NA	0	0
RP11-277P12.20	NA	NA	NA	NA	NA
RP11-184E9.1	NA	NA	NA	NA	NA
ZNF585B	0	0	0	0	0
AF146191.4	NA	NA	NA	0	0
CRNDE	1	1	1	1	1
NADK2-AS1	NA	NA	0	0	0
RP11-480D4.1	NA	NA	NA	NA	NA
DRAIC	NA	NA	NA	1	1
RP11-175K6.1	NA	NA	NA	NA	NA
MIR4300HG	NA	NA	NA	NA	NA
CEBPA	1	1	1	1	1
RAD51-AS1	0	0	1	0	0.25
GS1-24F4.2	NA	NA	NA	NA	NA
CTC-467M3.1	NA	NA	NA	NA	NA
LINC00682	NA	NA	NA	NA	NA
FLJ21408	NA	NA	0	0	0
RP11-796E2.4	NA	NA	NA	NA	NA
SNHG6	1	1	1	1	1
RP11-630D6.5	NA	NA	NA	NA	NA
LINC01184	1	1	1	1	1
RP11-18H21.1	NA	NA	NA	NA	NA
KB-1208A12.3	0	NA	0	0	0
RP11-30K9.6	0	NA	0	0	0
LINC01513	0	NA	0	0	0
ALDH1L1-AS2	NA	NA	NA	NA	NA
RAB30-AS1	0	1	1	1	0.75
CTD-2506J14.1	NA	NA	NA	NA	NA
RP11-115C21.2	1	1	1	0	0.75
LINC01096	NA	NA	NA	NA	NA
LINC00900	NA	NA	NA	NA	NA
RRS1-AS1	NA	NA	NA	NA	NA
KCTD21-AS1	0	NA	0	0	0
RP11-632K5.3	NA	NA	NA	NA	NA
RP11-260E18.1	NA	NA	NA	NA	NA
LINC01550	NA	NA	NA	NA	NA
CASC8	NA	0	NA	NA	0
UBR5-AS1	0	0	1	0	0.25
SBF2-AS1	1	0	1	0	0.5
CTD-2036P10.3	0	NA	NA	NA	0
RP11-325L7.1	NA	NA	NA	NA	NA
PRR7-AS1	0	0	1	0	0.25
EXTL3-AS1	1	NA	NA	0	0.5
RP5-1186N24.3	NA	NA	NA	NA	NA
RP11-13A1.1	NA	NA	NA	NA	NA
LACTB2-AS1	0	NA	0	0	0
RP11-10L7.1	NA	NA	NA	NA	NA
RP11-461O7.1	NA	NA	NA	NA	NA
RP11-386I8.6	NA	NA	NA	NA	NA
CTD-2024I7.13	NA	NA	NA	NA	NA
LINC00968	NA	NA	NA	NA	NA
RP11-894P9.1	0	NA	0	0	0
RP11-736K20.6	NA	NA	NA	0	0
RP11-539L10.2	NA	NA	NA	NA	NA
RP11-159H10.3	0	NA	NA	0	0
RP11-363G15.2	NA	NA	NA	NA	NA
RP11-7F17.5	NA	NA	NA	NA	NA
RP11-10L12.4	0	NA	0	0	0
RP11-1149O23.3	NA	0	0	1	0.333333333333333
CACNA1C-AS1	NA	NA	NA	NA	NA
RP11-1094H24.4	NA	NA	NA	NA	NA
LINC00535	NA	NA	NA	NA	NA
RASSF8-AS1	0	NA	1	0	0.333333333333333
H2AFJ	0	0	1	1	0.5
MGC16275	NA	NA	NA	NA	NA
PLA2G4E-AS1	NA	NA	NA	NA	NA
RGMB-AS1	NA	NA	NA	0	0
AC004051.2	NA	NA	NA	NA	NA
RP11-61A14.4	NA	NA	NA	NA	NA
RP11-730K11.1	NA	NA	NA	NA	NA
RP11-379P15.1	NA	NA	NA	NA	NA
STARD4-AS1	NA	NA	NA	0	0
RP11-325N19.3	NA	NA	NA	NA	NA
RP11-519M16.1	NA	NA	NA	NA	NA
DNM1P35	NA	NA	NA	NA	NA
AP000487.5	NA	NA	1	0	0.5
LINC00920	NA	NA	NA	NA	NA
UBAP1L	NA	0	NA	0	0
RP1-179N16.6	NA	NA	0	NA	0
SOCS2-AS1	0	NA	0	0	0
PGAM5	1	1	1	1	1
BAALC-AS1	1	1	1	NA	1
SNHG10	0	0	0	1	0.25
MIR210HG	1	1	0	1	0.75
RP11-727A23.5	1	1	1	1	1
CSTF3-AS1	NA	NA	NA	NA	NA
LINC01252	NA	NA	NA	NA	NA
RP11-373N22.3	NA	NA	NA	NA	NA
LINC01498	NA	NA	NA	NA	NA
UBL7-AS1	0	0	0	0	0
ZBED5-AS1	0	1	NA	0	0.333333333333333
RP11-902B17.1	NA	NA	0	NA	0
ZCCHC3	1	1	1	1	1
RP11-273G15.2	NA	NA	1	NA	1
RP11-637A17.2	0	NA	NA	NA	0
RP11-486O12.2	0	NA	NA	1	0.5
PDX1-AS1	NA	NA	NA	NA	NA
DNAJC3-AS1	1	NA	0	0	0.333333333333333
CARS-AS1	NA	NA	NA	NA	NA
RP11-392P7.6	NA	0	0	NA	0
MIR4458HG	1	NA	NA	1	1
OIP5-AS1	1	1	1	1	1
CKMT2-AS1	0	0	0	0	0
SPTY2D1-AS1	0	0	0	0	0
TWF2	0	1	0	1	0.5
CPEB2-AS1	NA	NA	NA	NA	NA
MARS2	1	1	1	1	1
LRP4-AS1	NA	NA	NA	0	0
CTB-127C13.1	NA	NA	NA	NA	NA
STX18-AS1	0	0	NA	0	0
RP11-932O9.7	0	0	NA	0	0
CTD-2574D22.2	0	NA	0	0	0
USP51	0	NA	NA	NA	0
PCED1B-AS1	0	NA	0	0	0
SNCA-AS1	NA	NA	NA	NA	NA
CTD-2366F13.1	0	0	0	0	0
NR2F2-AS1	0	0	0	0	0
TMEM161B-AS1	0	0	0	0	0
CTD-2530H12.1	NA	NA	NA	NA	NA
CTD-2001C12.1	NA	NA	NA	NA	NA
SEC24B-AS1	1	NA	1	1	1
LINC00926	NA	NA	NA	NA	NA
FOXD1-AS1	0	NA	0	NA	0
NRAV	1	1	1	1	1
FAM13A-AS1	0	NA	NA	0	0
CTD-2383M3.1	NA	NA	NA	NA	NA
UBA6-AS1	0	0	0	0	0
RP11-422N16.3	NA	NA	NA	NA	NA
DPH6-AS1	NA	NA	NA	NA	NA
NNT-AS1	0	NA	1	1	0.666666666666667
BCKDHA	0	0	0	0	0
INSL3	NA	NA	NA	NA	NA
CTC-339D2.1	NA	NA	NA	NA	NA
CTC-295J13.3	NA	NA	NA	NA	NA
LINC01019	NA	NA	NA	NA	NA
CTC-235G5.3	NA	NA	NA	NA	NA
LINC01194	NA	NA	NA	0	0
CTD-2037L6.2	NA	NA	NA	NA	NA
RP11-324J13.2	NA	NA	NA	NA	NA
ADH1C	NA	NA	NA	NA	NA
RP1-167G20.1	NA	NA	NA	NA	NA
RP11-650J17.1	NA	NA	NA	NA	NA
TRIM39-RPP21	0	NA	NA	NA	0
RP11-148L24.1	NA	NA	NA	NA	NA
RP11-231C18.1	NA	NA	NA	NA	NA
ATG10-AS1	NA	NA	NA	NA	NA
LINC00290	NA	NA	NA	NA	NA
RP11-455B3.1	NA	NA	NA	NA	NA
RP11-24I21.1	NA	NA	NA	NA	NA
TRPC7-AS1	NA	NA	NA	NA	NA
RP11-722M1.1	NA	NA	NA	NA	NA
STX18-IT1	NA	NA	NA	NA	NA
CTB-174D11.1	NA	NA	NA	NA	NA
RP11-83C7.1	NA	NA	NA	NA	NA
SLIT2-IT1	NA	NA	NA	NA	NA
RP11-3J1.1	NA	NA	NA	NA	NA
RP11-93K22.13	0	NA	0	0	0
OCIAD1-AS1	0	NA	0	0	0
FLJ12825	NA	NA	NA	NA	NA
TRIM52-AS1	0	0	0	1	0.25
CTD-2218G20.2	NA	NA	NA	NA	NA
RP11-74M11.2	NA	NA	NA	NA	NA
LINC00616	NA	NA	NA	NA	NA
MEF2C-AS1	NA	NA	NA	NA	NA
RP11-205M3.3	NA	NA	NA	NA	NA
LUCAT1	NA	0	0	NA	0
APELA	NA	NA	NA	NA	NA
LINC00613	NA	NA	NA	NA	NA
TUB-AS1	NA	NA	NA	NA	NA
CDK11B	0	0	1	1	0.5
RP11-472K22.2	NA	NA	NA	NA	NA
RP11-717H13.1	NA	NA	NA	NA	NA
LINC00504	0	NA	0	0	0
RP11-366H4.1	NA	NA	NA	NA	NA
CTC-347C20.2	NA	NA	NA	NA	NA
PCDHAC1	NA	NA	NA	NA	NA
TARM1	NA	NA	NA	NA	NA
CTD-2010I22.2	NA	NA	0	NA	0
LINC00498	NA	NA	NA	NA	NA
PRR5-ARHGAP8	1	0	NA	1	0.666666666666667
RP11-452C8.1	NA	NA	0	0	0
RP11-597D13.9	NA	NA	1	0	0.5
LINC01197	NA	NA	NA	NA	NA
SEMA6A-AS1	0	NA	0	0	0
RP11-321E2.3	NA	NA	NA	NA	NA
RP11-553P9.3	NA	NA	NA	NA	NA
RP11-419C19.2	NA	NA	NA	NA	NA
CTD-2207A17.1	NA	NA	NA	NA	NA
FGF10-AS1	NA	NA	NA	NA	NA
CTC-338M12.2	NA	NA	NA	NA	NA
CTD-2292M14.1	NA	NA	NA	NA	NA
BACH1-IT1	NA	NA	NA	NA	NA
POU5F2	NA	NA	NA	NA	NA
PCP4L1	NA	NA	NA	NA	NA
ABHD14A	1	1	0	1	0.75
CTD-2007H13.3	NA	NA	1	1	1
